Tile_ID,Tile_Name,Tile_Type,Room_Type,Colour,Size,Finish,Style,Price_Range,Rating,Usage
T0001,Modern Black Porcelain (Satin),Floor,Outdoor,Black,80x80 cm,Satin,Modern,Medium,3.3,Both
T0002,Minimalist Grey Granite (Textured),Both,Outdoor,Grey,60x60 cm,Textured,Minimalist,Medium,3.4,Indoor
T0003,Minimalist White Marble (Matte),Floor,Kitchen,White,30x30 cm,Matte,Minimalist,Low,4.0,Both
T0004,Minimalist Beige Travertine (Matte),Wall,Bathroom,Beige,100x100 cm,Matte,Minimalist,High,5.0,Indoor
T0005,Modern Grey Porcelain (Satin),Floor,Living Room,Grey,80x80 cm,Satin,Modern,Medium,4.9,Outdoor
T0006,Classic Beige Sandstone (Matte),Floor,Bedroom,Beige,100x100 cm,Matte,Classic,High,4.4,Indoor
T0007,Classic Grey Granite (Textured),Wall,Kitchen,Grey,60x60 cm,Textured,Classic,Medium,4.0,Outdoor
T0008,Classic Black Granite (Satin),Wall,Bedroom,Black,100x100 cm,Satin,Classic,Medium,3.8,Outdoor
T0009,Rustic Blue Mosaic (Matte),Floor,Outdoor,Blue,60x60 cm,Matte,Rustic,High,4.7,Outdoor
T0010,Minimalist White Ceramic (Glossy),Floor,Outdoor,White,30x30 cm,Glossy,Minimalist,Low,5.0,Indoor
T0011,Minimalist Black Porcelain (Satin),Both,Living Room,Black,100x100 cm,Satin,Minimalist,High,4.6,Both
T0012,Classic Brown Ceramic (Matte),Floor,Kitchen,Brown,80x80 cm,Matte,Classic,Low,4.2,Outdoor
T0013,Minimalist White Porcelain (Satin),Wall,Outdoor,White,80x80 cm,Satin,Minimalist,Medium,4.8,Indoor
T0014,Modern Grey Porcelain (Matte),Both,Living Room,Grey,30x30 cm,Matte,Modern,Medium,3.5,Outdoor
T0015,Modern Grey Porcelain (Satin),Wall,Bedroom,Grey,100x100 cm,Satin,Modern,Low,3.4,Both
T0016,Minimalist White Ceramic (Textured),Wall,Outdoor,White,80x80 cm,Textured,Minimalist,High,3.8,Both
T0017,Minimalist Brown Wood-look (Textured),Both,Bathroom,Brown,80x80 cm,Textured,Minimalist,Medium,4.8,Outdoor
T0018,Classic Brown Wood-look (Glossy),Wall,Kitchen,Brown,100x100 cm,Glossy,Classic,Medium,4.8,Outdoor
T0019,Modern Black Porcelain (Matte),Floor,Living Room,Black,30x30 cm,Matte,Modern,High,3.9,Indoor
T0020,Rustic White Porcelain (Matte),Both,Living Room,White,60x60 cm,Matte,Rustic,Low,4.4,Outdoor
T0021,Minimalist Black Porcelain (Satin),Wall,Living Room,Black,100x100 cm,Satin,Minimalist,Low,3.1,Outdoor
T0022,Minimalist Black Slate (Satin),Wall,Bathroom,Black,30x30 cm,Satin,Minimalist,Low,3.6,Indoor
T0023,Modern Grey Concrete (Matte),Wall,Outdoor,Grey,100x100 cm,Matte,Modern,Low,4.3,Outdoor
T0024,Modern Beige Ceramic (Textured),Wall,Kitchen,Beige,80x80 cm,Textured,Modern,High,3.7,Indoor
T0025,Minimalist Blue Mosaic (Textured),Wall,Bathroom,Blue,80x80 cm,Textured,Minimalist,Low,3.3,Both
T0026,Minimalist Blue Mosaic (Satin),Both,Kitchen,Blue,80x80 cm,Satin,Minimalist,Medium,4.0,Both
T0027,Minimalist Black Porcelain (Textured),Floor,Living Room,Black,100x100 cm,Textured,Minimalist,High,4.9,Indoor
T0028,Minimalist Grey Granite (Glossy),Wall,Bedroom,Grey,80x80 cm,Glossy,Minimalist,High,4.3,Outdoor
T0029,Minimalist White Ceramic (Matte),Floor,Kitchen,White,30x30 cm,Matte,Minimalist,Low,4.8,Both
T0030,Modern White Porcelain (Satin),Both,Kitchen,White,100x100 cm,Satin,Modern,Medium,4.6,Both
T0031,Minimalist White Marble (Textured),Wall,Bathroom,White,100x100 cm,Textured,Minimalist,Medium,4.9,Indoor
T0032,Classic Brown Terracotta (Matte),Wall,Bathroom,Brown,100x100 cm,Matte,Classic,Low,3.4,Indoor
T0033,Modern Black Slate (Glossy),Both,Bathroom,Black,30x30 cm,Glossy,Modern,Low,4.1,Both
T0034,Classic Grey Porcelain (Matte),Wall,Outdoor,Grey,80x80 cm,Matte,Classic,Medium,4.8,Both
T0035,Modern Beige Ceramic (Glossy),Both,Living Room,Beige,30x30 cm,Glossy,Modern,Low,4.0,Both
T0036,Minimalist White Ceramic (Textured),Wall,Outdoor,White,60x60 cm,Textured,Minimalist,Low,4.8,Indoor
T0037,Minimalist Brown Wood-look (Glossy),Wall,Outdoor,Brown,80x80 cm,Glossy,Minimalist,High,5.0,Both
T0038,Modern Brown Ceramic (Glossy),Both,Bedroom,Brown,30x30 cm,Glossy,Modern,Medium,4.9,Outdoor
T0039,Minimalist Grey Concrete (Textured),Wall,Bedroom,Grey,80x80 cm,Textured,Minimalist,High,3.6,Outdoor
T0040,Minimalist White Ceramic (Glossy),Both,Outdoor,White,60x60 cm,Glossy,Minimalist,High,3.8,Outdoor
T0041,Minimalist White Ceramic (Textured),Wall,Living Room,White,100x100 cm,Textured,Minimalist,Low,3.4,Outdoor
T0042,Minimalist Blue Porcelain (Satin),Both,Kitchen,Blue,60x60 cm,Satin,Minimalist,Medium,3.9,Both
T0043,Rustic Blue Mosaic (Matte),Both,Outdoor,Blue,60x60 cm,Matte,Rustic,Medium,4.7,Indoor
T0044,Classic Black Slate (Satin),Wall,Bathroom,Black,100x100 cm,Satin,Classic,Low,4.0,Indoor
T0045,Minimalist Black Granite (Satin),Wall,Outdoor,Black,100x100 cm,Satin,Minimalist,Medium,4.1,Both
T0046,Minimalist Black Granite (Matte),Wall,Bathroom,Black,30x30 cm,Matte,Minimalist,High,3.9,Outdoor
T0047,Modern Beige Ceramic (Glossy),Wall,Living Room,Beige,100x100 cm,Glossy,Modern,Low,3.1,Outdoor
T0048,Rustic White Marble (Textured),Wall,Living Room,White,100x100 cm,Textured,Rustic,Low,3.6,Indoor
T0049,Classic Brown Wood-look (Satin),Both,Kitchen,Brown,60x60 cm,Satin,Classic,High,4.5,Indoor
T0050,Classic Brown Wood-look (Satin),Floor,Kitchen,Brown,30x30 cm,Satin,Classic,Medium,4.5,Indoor
T0051,Modern Black Slate (Matte),Floor,Bedroom,Black,60x60 cm,Matte,Modern,Medium,4.3,Outdoor
T0052,Rustic Black Slate (Matte),Both,Bedroom,Black,100x100 cm,Matte,Rustic,Low,4.1,Indoor
T0053,Minimalist Black Porcelain (Matte),Floor,Kitchen,Black,100x100 cm,Matte,Minimalist,High,4.6,Outdoor
T0054,Minimalist Grey Granite (Glossy),Floor,Bathroom,Grey,80x80 cm,Glossy,Minimalist,Low,4.3,Indoor
T0055,Minimalist White Marble (Satin),Floor,Outdoor,White,100x100 cm,Satin,Minimalist,High,3.8,Indoor
T0056,Classic Grey Porcelain (Satin),Floor,Bedroom,Grey,100x100 cm,Satin,Classic,Low,4.7,Outdoor
T0057,Classic Blue Porcelain (Glossy),Both,Kitchen,Blue,60x60 cm,Glossy,Classic,Low,3.7,Both
T0058,Minimalist Brown Wood-look (Glossy),Floor,Living Room,Brown,100x100 cm,Glossy,Minimalist,Medium,3.8,Both
T0059,Rustic White Marble (Glossy),Both,Outdoor,White,100x100 cm,Glossy,Rustic,Low,4.4,Both
T0060,Rustic White Ceramic (Matte),Floor,Living Room,White,60x60 cm,Matte,Rustic,Low,3.6,Both
T0061,Modern Grey Granite (Glossy),Both,Kitchen,Grey,30x30 cm,Glossy,Modern,High,4.9,Both
T0062,Rustic Black Slate (Satin),Floor,Outdoor,Black,80x80 cm,Satin,Rustic,Low,4.1,Indoor
